Artist,Lyrics,Key,Genre,Music,Song,Title,Guitar,Visits
"Shreemathi Thilakarathna, Victor Rathnayaka",Premakeerthi De Alwis,F major | Beat,"Duets, Golden Oldies",Victor Rathnayaka,ආදර ගඟුලෙහි ඉවුරෙ රැඳී සහන පවන් සැලූ මා ළඟ ඔබ සිටිනා විටදී ලොවම දැකුම්කලු // මල් වැල් වන විල් පිරී ගියේ සෙවණ දෙවන්නලු බිඟු නඳ විහඟුන් ඉගිල්ලුනේ මිහිරෙ රැඳෙන්නලු පුන් සඳ නැගුනෙත් අහස් තලේ අපට බලන්නලු දෙනෙතට කඳුලැලි තුරුල් කලේ පෙමට අඬන්නලු පෙමට අඬන්නලු මී වද මී පැණි පිරී ගියේ දෙතොලෙ රඳන්නලු දේදුනු ඕවිලි මැවී ගියේ ලොවම පිනන්නලු මේ ලොව මා ඉපදුනේ ප්‍රියේ ඔබව ලබන්නලු ඒ හැර ලැබුණත් පලක් නැතේ ඉසුරු මැණික් මලු ඉසුරු මැණික් මලු,adara-gangulehi,INTRO | F |Gm |C7 | F | |Bb | F |C7 | F | | F |Dm | - |C7 | | F |Dm | - | F | CHORUS F F7 Bb Bb D7 Gm C C7 F INTER | + |Am | F | F | |F/D7|Gm | C | F | | - | C | - | F | | F | G7 |C7| F | VERSE 1 F F7 Gm Bb F C7 Bb Gm C7 F F Am7 Dm F F7 Gm Bb F C7 Bb Gm C7 F F Bb F VERSE 2 F F7 Gm Bb F C7 Bb Gm C7 F F Am7 Dm F F7 Gm Bb F C7 Bb Gm C7 F F Bb F,3914
Priya Sooriyasena,Premakeerthi De Alwis,A major,New Pop,Priya Sooriyasena,ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ඔබ මුදු මදහස් රැළි මාලාවේ වෙලී බැදුණු දින රඟ ශාලාවේ තුන් හිතකින්වත් නොසිතූ විලසින් යළි ඔබ දැකුමට ආ වේලාවේ අප හමු වූ ගෙවුයන් සීමාවේ එක මොහොතක් පමණකි තනි වූයේ මටම ම පුදුමයි අදහන්නට බෑ මම ම නොවේ යළි ඉන් පිට වූයේ කවුදෝ මා පසු පස එනු දැනුණා පාළු වීදියේ තනිකම මැකුණා ජීවමාන කිසිවකු සිටියේ නෑ එනමුදු කවුදෝ ඇති බව වැකුණා නිදියහනේ මා නින්දට වැටුණා ඔබ මා සිහිනෙන් අමතනු පෙනුණා එනමුදු කෙලෙසද ඇගේ අත ගන්නේ මගේ සිතම මට මුමුණනු ඇසුනා,adaraneeya-neranjana,INTRO | + | + | + | + | + | + | + | + | | A | - |F#m| E |A | - |F#m| E | | A |F#m|Bm | E | A |F#m|Bm | E | CHORUS A D E E7 A A F#m A D E E7 A A D E E7 A VERSE 1 A E E7 A A D E E E7 A A D E E E7 A A D E E E7 A INTER || A |F#m|Bm| E || VERSE 2 A E E7 A A D E E E7 A A D E E E7 A A D E E E7 A,3286
Victor Rathnayaka,Premakeerthi De Alwis,C major | Beat,"Classics, Inspirational",Victor Rathnayaka,ආදරයේ උල්පත වූ අම්මා මා ඔබගේ පුතු වූ…. ඔබ මතු බුදුවන දවසේ මා රාහුල කුමරුන් සේ සෙවන පතා අද මෙන් පැමිණෙන්නෙමි සුළැගිල්ලේ එල්ලී සඳ දිය කොට කිරිවතුරෙන් ඒ දියරෙන් මුව දෝවා දිව මතුරක්වන් නැලැවිලි ගීයෙන් මතකයි මා නැලැවූවා ජීවිතයෙන් ජීවිතයක් ගෙන දී ඒ ජීවිතයට කිරි දී පණ දී මා දැඩි කල අම්මා තුරුලට ගෙන අත් පා හැඩ ගස්වා නිදි ගන්වා යහන් ගැබේ සිහිනෙන් ගෑ සුවඳක් මෙන් සිහිවෙයි ඒ කිරි සුවඳ ඔබේ දවසින් දවසට සෙනෙහස ලබැදී ගෙන දී දිවියට නව පන ලැබදී මා දැඩි කල අම්මා,adaraye-ulpatha-wu,INTRO | C | F | C | G | | F | C | G | C | | C | F | C | G | | F | C | G | C | | G7| C | CHORUS C G G7 C G F C C G C F C C7 F C G G7 C INTER | C | F | C |C/G7| |F/G|C/G| C | - | VERSE 1 C F C G C G7 C C F C G C G7 C C Bb F C C G G7 C G G7 C VERSE 2 C F C G C G7 C C F C G C G7 C C Bb F C C G G7 C G G7 C,5058
Mervin Perera,Premakeerthi De Alwis,F major | Beat,Old Pops,Mervin Perera,අකුරු සතරකින් මනස පැටලිලා වැලි පිල්ලේ ලිය ලියා ගළපන්න ට බැරිව ළතැ වුණා ආදරයයි අකුරු සතර ඒ// ආ යන්නෙන් මා පැතු ආදරේ ද යනු ගිනි තියාලා දව දවා ගින්දරේ ර යනු රළු බැවින් සවන් යුග වසා ය යනු කීවේ යන්න ඔබ හැරා වි යනු වියෝගේ මැව්වා සිතේ වා යනු වාවන්න ට පෙළඹුවා නිරතුරේ හ යනු හසරැළී නගන්නෙමි කියා ය යනු යළි කීවේ එන්න ඔබ කරා,akuru-satharakin,INTRO | F |Bb |F/Bb|F/C| | F | - |Dm | C | | C |Bb | F | - | |C/Bb|F/C| F | - | | F | - | CHORUS F	 C7	 F Dm	 C C	 Bb		 F Dm Gm C	 F INTER | F |Dm |Gm | C | | Bb|F/C|F/C|Bb/F| VERSE 1 F	 C F F	 Gm C7		F F Bb F	 F Bb F C7 F C7		 F VERSE 2 F	 C F F	 Gm C7		F F Bb F F Bb F C7 F C7	 F,971
Victor Rathnayaka,Premakeerthi De Alwis,C major | Beat,Movie Songs,Victor Rathnayaka,අඳුර බිඳින්නට රැයක් දවාලු ලන්තෑරුම් නිවලා තිමිරයෙ තිරකඩ අරුණෙහි බිඳහැර හිරු තව දවසක් ගෙනැවිල්ලා// මතකය නම් වූ මළපොත පෙරලා මළගිය ඊයේ සිහිපත් කළ මැන පැතූ පැතුම් අත් මිට මොලවාගත් දෑතෙහි දසැඟිලි දිගහැරලනු මැන එහි මොනවද ඇත්තේ කිසිත් නැත හිස් බවෙකිය ඇත්තේ සමුදුර ගිරිහෙල් දෙරණ තලා මැද යෞවන විය පියවර තබනා සඳ හිස්වන හදවිත සපුරා ලන්නට මියැසි විරාමය යළි පැමිණි ඇත අරුමෙකි පැවසෙන්නේ එපමණයි පිළිසරණය වන්නේ,andura-bidinnata,INTRO | C | - | C | G | | F | G |F/G| C | | C | G | F | C | | C | G | F | C | |C/F|F/G| G |G7 | | C | CHORUS C C Am G F C G C G G7 C INTER | C | - | C | F | | F | - | F | G | | G |D7 | - |C7 | | C |C7 | F | C | | C | VERSE 1 C G C C F G C C G C C F C C A7 Dm G F G G G7 VERSE 2 G C C F G C C G C C F C C A7 Dm G F G G G7,1808
Victor Rathnayaka,Premakeerthi De Alwis,D minor | Beat,Golden Oldies,Victor Rathnayaka,අපි හැඟුම් වලට ඉඩදී මොහොතක්‌ ඉඩ ලබාගනිමු තරමින් වියතක්‌ හඳ පානේ මද අඳුරේ අත් පටලා යමු ආයේ අත් පටලා යමු ආයේ ඔබ ඔබෙ හෙවණැල්ලෙන් මිදී මම මගෙ හෙවණැල්ලෙන් මිදී// අවුදින් හිමින් රහසින් මුමුණා හඳ පානේ මද අඳුරේ හඳ පානේ මද අඳුරේ…… හිරකර හසරැල්ලෙන් හැඩුම් අපි හිනැහෙමු සපුරා පැතුම්// මතු ආත්මයේ හමුවෙන පැතුමින් යමු වෙන්වී හිමිදිරියේ හඳ පානේ මද අඳුරේ……,api-hangum-walata,INTRO |Dm | - | - |Dm/A| |Dm | - | - |Dm | | + | + | CHORUS Dm A7 Gm A7 Dm Dm Gm Dm A C Dm Dm A C Dm INTER 1 |Dm |Dm/C|Gm | - | | C | F |Gm/F|Dm | |Dm | - | - |Dm/A| |Dm | - | - |Dm | VERSE 1 Dm Gm A A A7 D D7 G D F A7 Dm INTER 2 |Dm | - |Gm | - | | D |Dm | |Dm | - | - |Dm/A| |Dm | - | - |Dm | VERSE 2 Dm Gm A A A7 D D7 G D F A7 Dm,20082
"Shreemathi Thilakarathna, Victor Rathnayaka",Premakeerthi De Alwis,F major | Beat,"Duets, Golden Oldies",Victor Rathnayaka,ආදර ගඟුලෙහි ඉවුරෙ රැඳී සහන පවන් සැලූ මා ළඟ ඔබ සිටිනා විටදී ලොවම දැකුම්කලු // මල් වැල් වන විල් පිරී ගියේ සෙවණ දෙවන්නලු බිඟු නඳ විහඟුන් ඉගිල්ලුනේ මිහිරෙ රැඳෙන්නලු පුන් සඳ නැගුනෙත් අහස් තලේ අපට බලන්නලු දෙනෙතට කඳුලැලි තුරුල් කලේ පෙමට අඬන්නලු පෙමට අඬන්නලු මී වද මී පැණි පිරී ගියේ දෙතොලෙ රඳන්නලු දේදුනු ඕවිලි මැවී ගියේ ලොවම පිනන්නලු මේ ලොව මා ඉපදුනේ ප්‍රියේ ඔබව ලබන්නලු ඒ හැර ලැබුණත් පලක් නැතේ ඉසුරු මැණික් මලු ඉසුරු මැණික් මලු,adara-gangulehi,INTRO | F |Gm |C7 | F | |Bb | F |C7 | F | | F |Dm | - |C7 | | F |Dm | - | F | CHORUS F F7 Bb Bb D7 Gm C C7 F INTER | + |Am | F | F | |F/D7|Gm | C | F | | - | C | - | F | | F | G7 |C7| F | VERSE 1 F F7 Gm Bb F C7 Bb Gm C7 F F Am7 Dm F F7 Gm Bb F C7 Bb Gm C7 F F Bb F VERSE 2 F F7 Gm Bb F C7 Bb Gm C7 F F Am7 Dm F F7 Gm Bb F C7 Bb Gm C7 F F Bb F,3914
Priya Sooriyasena,Premakeerthi De Alwis,A major,New Pop,Priya Sooriyasena,ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ඔබ මුදු මදහස් රැළි මාලාවේ වෙලී බැදුණු දින රඟ ශාලාවේ තුන් හිතකින්වත් නොසිතූ විලසින් යළි ඔබ දැකුමට ආ වේලාවේ අප හමු වූ ගෙවුයන් සීමාවේ එක මොහොතක් පමණකි තනි වූයේ මටම ම පුදුමයි අදහන්නට බෑ මම ම නොවේ යළි ඉන් පිට වූයේ කවුදෝ මා පසු පස එනු දැනුණා පාළු වීදියේ තනිකම මැකුණා ජීවමාන කිසිවකු සිටියේ නෑ එනමුදු කවුදෝ ඇති බව වැකුණා නිදියහනේ මා නින්දට වැටුණා ඔබ මා සිහිනෙන් අමතනු පෙනුණා එනමුදු කෙලෙසද ඇගේ අත ගන්නේ මගේ සිතම මට මුමුණනු ඇසුනා,adaraneeya-neranjana,INTRO | + | + | + | + | + | + | + | + | | A | - |F#m| E |A | - |F#m| E | | A |F#m|Bm | E | A |F#m|Bm | E | CHORUS A D E E7 A A F#m A D E E7 A A D E E7 A VERSE 1 A E E7 A A D E E E7 A A D E E E7 A A D E E E7 A INTER || A |F#m|Bm| E || VERSE 2 A E E7 A A D E E E7 A A D E E E7 A A D E E E7 A,3286
Victor Rathnayaka,Premakeerthi De Alwis,C major | Beat,"Classics, Inspirational",Victor Rathnayaka,ආදරයේ උල්පත වූ අම්මා මා ඔබගේ පුතු වූ…. ඔබ මතු බුදුවන දවසේ මා රාහුල කුමරුන් සේ සෙවන පතා අද මෙන් පැමිණෙන්නෙමි සුළැගිල්ලේ එල්ලී සඳ දිය කොට කිරිවතුරෙන් ඒ දියරෙන් මුව දෝවා දිව මතුරක්වන් නැලැවිලි ගීයෙන් මතකයි මා නැලැවූවා ජීවිතයෙන් ජීවිතයක් ගෙන දී ඒ ජීවිතයට කිරි දී පණ දී මා දැඩි කල අම්මා තුරුලට ගෙන අත් පා හැඩ ගස්වා නිදි ගන්වා යහන් ගැබේ සිහිනෙන් ගෑ සුවඳක් මෙන් සිහිවෙයි ඒ කිරි සුවඳ ඔබේ දවසින් දවසට සෙනෙහස ලබැදී ගෙන දී දිවියට නව පන ලැබදී මා දැඩි කල අම්මා,adaraye-ulpatha-wu,INTRO | C | F | C | G | | F | C | G | C | | C | F | C | G | | F | C | G | C | | G7| C | CHORUS C G G7 C G F C C G C F C C7 F C G G7 C INTER | C | F | C |C/G7| |F/G|C/G| C | - | VERSE 1 C F C G C G7 C C F C G C G7 C C Bb F C C G G7 C G G7 C VERSE 2 C F C G C G7 C C F C G C G7 C C Bb F C C G G7 C G G7 C,5058
Mervin Perera,Premakeerthi De Alwis,F major | Beat,Old Pops,Mervin Perera,අකුරු සතරකින් මනස පැටලිලා වැලි පිල්ලේ ලිය ලියා ගළපන්න ට බැරිව ළතැ වුණා ආදරයයි අකුරු සතර ඒ// ආ යන්නෙන් මා පැතු ආදරේ ද යනු ගිනි තියාලා දව දවා ගින්දරේ ර යනු රළු බැවින් සවන් යුග වසා ය යනු කීවේ යන්න ඔබ හැරා වි යනු වියෝගේ මැව්වා සිතේ වා යනු වාවන්න ට පෙළඹුවා නිරතුරේ හ යනු හසරැළී නගන්නෙමි කියා ය යනු යළි කීවේ එන්න ඔබ කරා,akuru-satharakin,INTRO | F |Bb |F/Bb|F/C| | F | - |Dm | C | | C |Bb | F | - | |C/Bb|F/C| F | - | | F | - | CHORUS F	 C7	 F Dm	 C C	 Bb		 F Dm Gm C	 F INTER | F |Dm |Gm | C | | Bb|F/C|F/C|Bb/F| VERSE 1 F	 C F F	 Gm C7		F F Bb F	 F Bb F C7 F C7		 F VERSE 2 F	 C F F	 Gm C7		F F Bb F F Bb F C7 F C7	 F,971
