,Artist,Lyrics,Key,Genre,Music,Song,Title,Visits,title-en
0,"ශ්‍රීමතී තිලකරත්න, වික්ටර් රත්නායක",ආදරණීය දිනය ඇල්විස්,Key,"ඩුවට්ස්, ගෝල්ඩන් ඕල්ඩීස්",වික්ටර් රත්නායක,ආදර ගඟුලෙහි ඉවුරෙ රැඳී සහන පවන් සැලූ මා ළඟ ඔබ සිටිනා විටදී ලොවම දැකුම්කලු // මල් වැල් වන විල් පිරී ගියේ සෙවණ දෙවන්නලු බිඟු නඳ විහඟුන් ඉගිල්ලුනේ මිහිරෙ රැඳෙන්නලු පුන් සඳ නැගුනෙත් අහස් තලේ අපට බලන්නලු දෙනෙතට කඳුලැලි තුරුල් කලේ පෙමට අඬන්නලු පෙමට අඬන්නලු මී වද මී පැණි පිරී ගියේ දෙතොලෙ රඳන්නලු දේදුනු ඕවිලි මැවී ගියේ ලොවම පිනන්නලු මේ ලොව මා ඉපදුනේ ප්‍රියේ ඔබව ලබන්නලු ඒ හැර ලැබුණත් පලක් නැතේ ඉසුරු මැණික් මලු ඉසුරු මැණික් මලු,ආදර ගඟුලෙහි,3906,adara gangulehi
1,ප්‍රියා සූරියසේන,ආදරණීය දිනය ඇල්විස්,A major,නව පොප්,ප්‍රියා සූරියසේන,ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ඔබ මුදු මදහස් රැළි මාලාවේ වෙලී බැදුණු දින රඟ ශාලාවේ තුන් හිතකින්වත් නොසිතූ විලසින් යළි ඔබ දැකුමට ආ වේලාවේ අප හමු වූ ගෙවුයන් සීමාවේ එක මොහොතක් පමණකි තනි වූයේ මටම ම පුදුමයි අදහන්නට බෑ මම ම නොවේ යළි ඉන් පිට වූයේ කවුදෝ මා පසු පස එනු දැනුණා පාළු වීදියේ තනිකම මැකුණා ජීවමාන කිසිවකු සිටියේ නෑ එනමුදු කවුදෝ ඇති බව වැකුණා නිදියහනේ මා නින්දට වැටුණා ඔබ මා සිහිනෙන් අමතනු පෙනුණා එනමුදු කෙලෙසද ඇගේ අත ගන්නේ මගේ සිතම මට මුමුණනු ඇසුනා,ආදරණීය නේරංජනා,3277,adaraneeya neranjana
2,වික්ටර් රත්නායක,ආදරණීය දිනය ඇල්විස්,Key,"ක්ලැසික්, දේවානුභාවයෙන්",වික්ටර් රත්නායක,ආදරයේ උල්පත වූ අම්මා මා ඔබගේ පුතු වූ…. ඔබ මතු බුදුවන දවසේ මා රාහුල කුමරුන් සේ සෙවන පතා අද මෙන් පැමිණෙන්නෙමි සුළැගිල්ලේ එල්ලී සඳ දිය කොට කිරිවතුරෙන් ඒ දියරෙන් මුව දෝවා දිව මතුරක්වන් නැලැවිලි ගීයෙන් මතකයි මා නැලැවූවා ජීවිතයෙන් ජීවිතයක් ගෙන දී ඒ ජීවිතයට කිරි දී පණ දී මා දැඩි කල අම්මා තුරුලට ගෙන අත් පා හැඩ ගස්වා නිදි ගන්වා යහන් ගැබේ සිහිනෙන් ගෑ සුවඳක් මෙන් සිහිවෙයි ඒ කිරි සුවඳ ඔබේ දවසින් දවසට සෙනෙහස ලබැදී ගෙන දී දිවියට නව පන ලැබදී මා දැඩි කල අම්මා,ආදරයේ උල්පත වූ,5052,adaraye ulpatha wu
3,මර්වින් පෙරෙයිරා,ආදරණීය දිනය ඇල්විස්,Key,පැරණි පොප්ස්,මර්වින් පෙරෙයිරා,අකුරු සතරකින් මනස පැටලිලා වැලි පිල්ලේ ලිය ලියා ගළපන්න ට බැරිව ළතැ වුණා ආදරයයි අකුරු සතර ඒ// ආ යන්නෙන් මා පැතු ආදරේ ද යනු ගිනි තියාලා දව දවා ගින්දරේ ර යනු රළු බැවින් සවන් යුග වසා ය යනු කීවේ යන්න ඔබ හැරා වි යනු වියෝගේ මැව්වා සිතේ වා යනු වාවන්න ට පෙළඹුවා නිරතුරේ හ යනු හසරැළී නගන්නෙමි කියා ය යනු යළි කීවේ එන්න ඔබ කරා,අකුරු සතරකින්,969,akuru satharakin
4,වික්ටර් රත්නායක,ආදරණීය දිනය ඇල්විස්,C major | Beat,චිත්‍රපට ගීත,වික්ටර් රත්නායක,අඳුර බිඳින්නට රැයක් දවාලු ලන්තෑරුම් නිවලා තිමිරයෙ තිරකඩ අරුණෙහි බිඳහැර හිරු තව දවසක් ගෙනැවිල්ලා// මතකය නම් වූ මළපොත පෙරලා මළගිය ඊයේ සිහිපත් කළ මැන පැතූ පැතුම් අත් මිට මොලවාගත් දෑතෙහි දසැඟිලි දිගහැරලනු මැන එහි මොනවද ඇත්තේ කිසිත් නැත හිස් බවෙකිය ඇත්තේ සමුදුර ගිරිහෙල් දෙරණ තලා මැද යෞවන විය පියවර තබනා සඳ හිස්වන හදවිත සපුරා ලන්නට මියැසි විරාමය යළි පැමිණි ඇත අරුමෙකි පැවසෙන්නේ එපමණයි පිළිසරණය වන්නේ,අඳුර බිඳින්නට,1806,andura bidinnata
5,වික්ටර් රත්නායක,ආදරණීය දිනය ඇල්විස්,Key,ගෝල්ඩන් ඕල්ඩීස්,වික්ටර් රත්නායක,අපි හැඟුම් වලට ඉඩදී මොහොතක්‌ ඉඩ ලබාගනිමු තරමින් වියතක්‌ හඳ පානේ මද අඳුරේ අත් පටලා යමු ආයේ අත් පටලා යමු ආයේ ඔබ ඔබෙ හෙවණැල්ලෙන් මිදී මම මගෙ හෙවණැල්ලෙන් මිදී// අවුදින් හිමින් රහසින් මුමුණා හඳ පානේ මද අඳුරේ හඳ පානේ මද අඳුරේ…… හිරකර හසරැල්ලෙන් හැඩුම් අපි හිනැහෙමු සපුරා පැතුම්// මතු ආත්මයේ හමුවෙන පැතුමින් යමු වෙන්වී හිමිදිරියේ හඳ පානේ මද අඳුරේ……,අපි හැඟුම් වලට,20041,api hangum walata
6,"ශ්‍රීමතී තිලකරත්න, වික්ටර් රත්නායක",ආදරණීය දිනය ඇල්විස්,Key,"ඩුවට්ස්, ගෝල්ඩන් ඕල්ඩීස්",වික්ටර් රත්නායක,ආදර ගඟුලෙහි ඉවුරෙ රැඳී සහන පවන් සැලූ මා ළඟ ඔබ සිටිනා විටදී ලොවම දැකුම්කලු // මල් වැල් වන විල් පිරී ගියේ සෙවණ දෙවන්නලු බිඟු නඳ විහඟුන් ඉගිල්ලුනේ මිහිරෙ රැඳෙන්නලු පුන් සඳ නැගුනෙත් අහස් තලේ අපට බලන්නලු දෙනෙතට කඳුලැලි තුරුල් කලේ පෙමට අඬන්නලු පෙමට අඬන්නලු මී වද මී පැණි පිරී ගියේ දෙතොලෙ රඳන්නලු දේදුනු ඕවිලි මැවී ගියේ ලොවම පිනන්නලු මේ ලොව මා ඉපදුනේ ප්‍රියේ ඔබව ලබන්නලු ඒ හැර ලැබුණත් පලක් නැතේ ඉසුරු මැණික් මලු ඉසුරු මැණික් මලු,ආදර ගඟුලෙහි,3906,adara gangulehi
7,ප්‍රියා සූරියසේන,ආදරණීය දිනය ඇල්විස්,A major,නව පොප්,ප්‍රියා සූරියසේන,ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ආදරණීය නේරංජනා - ආදරණීය නේරංජනා ඔබ මුදු මදහස් රැළි මාලාවේ වෙලී බැදුණු දින රඟ ශාලාවේ තුන් හිතකින්වත් නොසිතූ විලසින් යළි ඔබ දැකුමට ආ වේලාවේ අප හමු වූ ගෙවුයන් සීමාවේ එක මොහොතක් පමණකි තනි වූයේ මටම ම පුදුමයි අදහන්නට බෑ මම ම නොවේ යළි ඉන් පිට වූයේ කවුදෝ මා පසු පස එනු දැනුණා පාළු වීදියේ තනිකම මැකුණා ජීවමාන කිසිවකු සිටියේ නෑ එනමුදු කවුදෝ ඇති බව වැකුණා නිදියහනේ මා නින්දට වැටුණා ඔබ මා සිහිනෙන් අමතනු පෙනුණා එනමුදු කෙලෙසද ඇගේ අත ගන්නේ මගේ සිතම මට මුමුණනු ඇසුනා,ආදරණීය නේරංජනා,3277,adaraneeya neranjana
8,වික්ටර් රත්නායක,ආදරණීය දිනය ඇල්විස්,Key,"ක්ලැසික්, දේවානුභාවයෙන්",වික්ටර් රත්නායක,ආදරයේ උල්පත වූ අම්මා මා ඔබගේ පුතු වූ…. ඔබ මතු බුදුවන දවසේ මා රාහුල කුමරුන් සේ සෙවන පතා අද මෙන් පැමිණෙන්නෙමි සුළැගිල්ලේ එල්ලී සඳ දිය කොට කිරිවතුරෙන් ඒ දියරෙන් මුව දෝවා දිව මතුරක්වන් නැලැවිලි ගීයෙන් මතකයි මා නැලැවූවා ජීවිතයෙන් ජීවිතයක් ගෙන දී ඒ ජීවිතයට කිරි දී පණ දී මා දැඩි කල අම්මා තුරුලට ගෙන අත් පා හැඩ ගස්වා නිදි ගන්වා යහන් ගැබේ සිහිනෙන් ගෑ සුවඳක් මෙන් සිහිවෙයි ඒ කිරි සුවඳ ඔබේ දවසින් දවසට සෙනෙහස ලබැදී ගෙන දී දිවියට නව පන ලැබදී මා දැඩි කල අම්මා,ආදරයේ උල්පත වූ,5052,adaraye ulpatha wu
9,මර්වින් පෙරෙයිරා,ආදරණීය දිනය ඇල්විස්,Key,පැරණි පොප්ස්,මර්වින් පෙරෙයිරා,අකුරු සතරකින් මනස පැටලිලා වැලි පිල්ලේ ලිය ලියා ගළපන්න ට බැරිව ළතැ වුණා ආදරයයි අකුරු සතර ඒ// ආ යන්නෙන් මා පැතු ආදරේ ද යනු ගිනි තියාලා දව දවා ගින්දරේ ර යනු රළු බැවින් සවන් යුග වසා ය යනු කීවේ යන්න ඔබ හැරා වි යනු වියෝගේ මැව්වා සිතේ වා යනු වාවන්න ට පෙළඹුවා නිරතුරේ හ යනු හසරැළී නගන්නෙමි කියා ය යනු යළි කීවේ එන්න ඔබ කරා,අකුරු සතරකින්,969,akuru satharakin
